epoch,1_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,2_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,3_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,4_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,5_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time
54,0.000243,0.001272,0.000000,3086,7412,12170,0.000239,0.001251,0.000000,1339,7978,13017,0.000239,0.001262,0.000000,1370,5391,15833,2.000000,2.000000,2.000000,1518,6075,12041,2.000000,2.000000,2.000000,1466,5786,16396
55,0.000239,0.001248,0.000000,3126,7554,12390,0.000235,0.001228,0.000000,1371,8131,13267,0.000234,0.001239,0.000000,1394,5505,16193,2.000000,2.000000,2.000000,1534,6169,12292,2.000000,2.000000,2.000000,1482,5881,16707
56,0.000235,0.001225,0.000000,3166,7681,12659,0.000230,0.001205,0.000000,1386,8248,13511,0.000230,0.001216,0.000000,1410,5630,16493,2.000000,2.000000,2.000000,1565,6268,12527,2.000000,2.000000,2.000000,1513,5979,16948
57,0.000230,0.001203,0.000000,3230,7807,12911,0.000226,0.001183,0.000000,1418,8387,13733,0.000226,0.001194,0.000000,1441,5741,16793,2.000000,2.000000,2.000000,1581,6378,12747,2.000000,2.000000,2.000000,1529,6091,17177
58,0.000226,0.001181,0.000000,3277,7918,13212,0.000222,0.001163,0.000000,1433,8565,13969,0.000222,0.001173,0.000000,1457,5857,17077,2.000000,2.000000,2.000000,1612,6472,12952,2.000000,2.000000,2.000000,1561,6191,17407
59,0.000222,0.001161,0.000000,3327,8027,13465,0.000219,0.001142,0.000000,1457,8714,14221,0.000218,0.001152,0.000000,1488,5974,17376,2.000000,2.000000,2.000000,1629,6584,13172,2.000000,2.000000,2.000000,1576,6298,17635
60,0.000219,0.001141,0.000000,3373,8137,13702,0.000215,0.001123,0.000000,1480,8860,14504,0.000215,0.001133,0.000000,1505,6074,17662,2.000000,2.000000,2.000000,1661,6679,13377,2.000000,2.000000,2.000000,1608,6391,17868
61,0.000215,0.001121,0.000000,3427,8248,13939,0.000211,0.001104,0.000000,1512,8981,14812,0.000211,0.001114,0.000000,1541,6174,17975,2.000000,2.000000,2.000000,1697,6795,13635,2.000000,2.000000,2.000000,1635,6498,18147
62,0.000212,0.001103,0.000000,3468,8359,14159,0.000208,0.001086,0.000000,1527,9110,15068,0.000208,0.001095,0.000000,1564,6272,18250,2.000000,2.000000,2.000000,1722,6888,13871,2.000000,2.000000,2.000000,1648,6596,18471
63,0.000208,0.001085,0.000000,3527,8478,14396,0.000205,0.001068,0.000000,1557,9204,15298,0.000204,0.001077,0.000000,1582,6366,18500,2.000000,2.000000,2.000000,1751,6983,14098,2.000000,2.000000,2.000000,1680,6705,19007
64,0.000205,0.001067,0.000000,3564,8595,14663,0.000201,0.001051,0.000000,1575,9314,15550,0.000201,0.001060,0.000000,1613,6461,18750,2.000000,2.000000,2.000000,1783,7077,14366,2.000000,2.000000,2.000000,1704,6800,19497
65,0.000202,0.001050,0.000000,3611,8722,14994,0.000198,0.001034,0.000000,1591,9433,15817,0.000198,0.001043,0.000000,1628,6555,19017,2.000000,2.000000,2.000000,1807,7172,14602,2.000000,2.000000,2.000000,1714,6893,19836
66,0.000199,0.001034,0.000000,3659,8848,15343,0.000195,0.001018,0.000000,1622,9548,16057,0.000195,0.001027,0.000000,1660,6647,19257,2.000000,2.000000,2.000000,1830,7256,14837,2.000000,2.000000,2.000000,1745,6992,20210
67,0.000196,0.001018,0.000000,3706,8975,15660,0.000192,0.001003,0.000000,1637,9664,16277,0.000192,0.001011,0.000000,1682,6757,19498,2.000000,2.000000,2.000000,1854,7356,15097,2.000000,2.000000,2.000000,1772,7091,20497
